日期,应用名称,国家,渠道号,新用户,交易数,信息费,预计收入,日活跃用户数,次日留存用户数
2018-09-10,"T Run",冈比亚,MUUU601,0,0,0.00,0.00,2,0
2018-09-10,Temple28,乌兹别克斯坦,MUUU1001,0,0,0.00,0.00,2,0
2018-09-10,CTSniper,斐济,MUUU575,0,0,0.00,0.00,3,0
2018-09-10,Hill3,几内亚,MUUU609,0,0,0.00,0.00,1,0
2018-09-10,RaceJM,冈比亚,MUUU558S,0,0,0.00,0.00,4,0
2018-09-10,Racing3D,孟加拉国,MUU58001,1,0,0.00,0.00,13,0
2018-09-10,PopStarJ,马达加斯加,MPOPJ001,0,0,0.00,0.00,1,0
2018-09-10,Stickmen,古巴,MUUU558S,0,0,0.00,0.00,2,1
2018-09-10,RaceJM,塞拉利昂,MUUU558S,1,0,0.00,0.00,3,0
2018-09-10,GunStrik,牙买加,MUUU607,0,0,0.00,0.00,1,0
2018-09-10,Stickman,墨西哥,MUUU575,0,0,0.00,0.00,1,0
2018-09-10,RaceJM,阿塞拜疆,MUUU601,0,0,0.00,0.00,1,0
2018-09-10,Stickmen,利比里亚,MUUU558S,0,0,0.00,0.00,1,0
2018-09-10,Stickmen,埃塞俄比亚,MUUU558S,1,0,0.00,0.00,14,0
2018-09-10,Takedown,埃塞俄比亚,MUUU607,0,0,0.00,0.00,1,0
2018-09-10,JumpA,印度,MUUU605,1,0,0.00,0.00,16,0
2018-09-10,"T Run",埃及,MUUUU571,0,0,0.00,0.00,1,0
2018-09-10,FruitTH,乌兹别克斯坦,MUUU575,0,0,0.00,0.00,9,0
2018-09-10,Hill3,印度,MUUU615,0,0,0.00,0.00,2,0
2018-09-10,DeadTrig,尼日利亚,MUUU5753,0,0,0.00,0.00,4,0
2018-09-10,"Sea Saga",尼日利亚,MUUUU,0,0,0.00,0.00,1,0
2018-09-10,ZYAPAY,菲律宾,MUU58001,0,0,0.00,0.00,4,0
2018-09-10,Hill3,尼泊尔,MUUU609,0,0,0.00,0.00,14,0
2018-09-10,Stickmen,墨西哥,MUUU558S,0,0,0.00,0.00,4,0
2018-09-10,"Snake io",乌克兰,MUU575,0,0,0.00,0.00,1,0
2018-09-10,RaceJM,多米尼加共和国,MUUU558S,0,0,0.00,0.00,1,0
